category,cluster,report_count
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,0,247
VIDA > FEMINICÍDIO,0,343
VIOLÊNCIA INSTITUCIONAL,0,12482
VIOLÊNCIA INSTITUCIONAL > EM RAZÃO DE SER POLICIAL/MILITAR/DEMAIS AGENTE DE SEGURANÇA PÚBLICA,0,2792
INTEGRIDADE > FÍSICA,1,1100754
INTEGRIDADE > PATRIMONIAL,1,200197
INTEGRIDADE > PSÍQUICA,1,1121598
LIBERDADE > SEXUAL,1,147380
INTEGRIDADE > NEGLIGÊNCIA,2,835748
VIDA > HOMICÍDIO,2,1517
VIDA > ABORTO,3,393
VIDA > AUTOMUTILAÇAO,3,1322
VIDA > INCITAÇÃO AO SUICÍDIO,3,1954
VIDA > SUICÍDIO,3,1292
