category,cluster,report_count
DIREITOS CIVIS E POLÍTICOS > ACESSO À INFORMAÇÃO,0,626
DIREITOS CIVIS E POLÍTICOS > PROPRIEDADE,0,1273
DIREITOS SOCIAIS > EDUCAÇÃO,0,2847
DIREITOS SOCIAIS > LAZER,0,1372
DIREITOS SOCIAIS > MORADIA,0,2239
IGUALDADE > INJÚRIA RACIAL E ÉTNICA,0,787
IGUALDADE > RACISMO,0,1222
DIREITOS CIVIS E POLÍTICOS > CULTURAL,1,17
DIREITOS CIVIS E POLÍTICOS > NACIONALIDADE,1,8
DIREITOS CIVIS E POLÍTICOS > PARTICIPAÇÃO/DEMOCRACIA,1,15
MEIO AMBIENTE > AR,1,14
MEIO AMBIENTE > FAUNA,1,19
MEIO AMBIENTE > FLORA,1,19
MEIO AMBIENTE > SOLO,1,34
MEIO AMBIENTE > ÁGUA,1,28
DIREITOS CIVIS E POLÍTICOS > LIVRE EXERCÍCIO DO PODER FAMILIAR,2,751
DIREITOS CIVIS E POLÍTICOS > RETENÇÃO DE DOCUMENTOS,2,627
DIREITOS SOCIAIS > PREVIDÊNCIA SOCIAL,2,539
LIBERDADE > DE RELIGIÃO ou CRENÇA,2,689
LIBERDADE > LABORAL,2,508
VIOLÊNCIA INSTITUCIONAL > EM RAZÃO DE SER POLICIAL/MILITAR/DEMAIS AGENTE DE SEGURANÇA PÚBLICA,2,809
DIREITOS CIVIS E POLÍTICOS > MEMÓRIA E VERDADE,3,257
LIBERDADE > EXPRESSÃO,3,384
VIDA > HOMICÍDIO,3,282
VIDA > INCITAÇÃO AO SUICÍDIO,3,326
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,4,56
DIREITOS SOCIAIS > PROTEÇÃO À MATERNIDADE,4,196
DIREITOS SOCIAIS > TRANSPORTE,4,199
VIDA > AUTOMUTILAÇAO,4,193
VIDA > SUICÍDIO,4,227
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA ÉTNICO/RACIAL,5,18
DIREITOS CIVIS E POLÍTICOS > VOTAR E SER VOTADO,5,1
VIDA > ABORTO,5,50
VIDA > FEMINICÍDIO,5,76
DIREITOS SOCIAIS > ALIMENTAÇÃO,6,4208
DIREITOS SOCIAIS > ASSISTÊNCIA AOS DESAMPARADOS,6,1717
DIREITOS SOCIAIS > PROTEÇÃO À INFÂNCIA,6,4259
DIREITOS SOCIAIS > TRABALHO,6,1707
VIOLÊNCIA INSTITUCIONAL,6,3150
DIREITOS SOCIAIS > SAÚDE,7,8067
DIREITOS SOCIAIS > SEGURANÇA,7,7691
IGUALDADE > DISCRIMINAÇÃO,7,3506
INTEGRIDADE > PATRIMONIAL,7,24187
LIBERDADE > DIREITOS INDIVIDUAIS,7,10808
LIBERDADE > SEXUAL,7,17293
INTEGRIDADE > FÍSICA,8,154097
INTEGRIDADE > NEGLIGÊNCIA,8,153638
INTEGRIDADE > PSÍQUICA,8,160144
