category,report_count
INTEGRIDADE > PSÍQUICA,160144
INTEGRIDADE > FÍSICA,154097
INTEGRIDADE > NEGLIGÊNCIA,153638
INTEGRIDADE > PATRIMONIAL,24187
LIBERDADE > SEXUAL,17293
LIBERDADE > DIREITOS INDIVIDUAIS,10808
DIREITOS SOCIAIS > SAÚDE,8067
DIREITOS SOCIAIS > SEGURANÇA,7691
DIREITOS SOCIAIS > PROTEÇÃO À INFÂNCIA,4259
DIREITOS SOCIAIS > ALIMENTAÇÃO,4208
IGUALDADE > DISCRIMINAÇÃO,3506
VIOLÊNCIA INSTITUCIONAL,3150
DIREITOS SOCIAIS > EDUCAÇÃO,2847
DIREITOS SOCIAIS > MORADIA,2239
DIREITOS SOCIAIS > ASSISTÊNCIA AOS DESAMPARADOS,1717
DIREITOS SOCIAIS > TRABALHO,1707
DIREITOS SOCIAIS > LAZER,1372
DIREITOS CIVIS E POLÍTICOS > PROPRIEDADE,1273
IGUALDADE > RACISMO,1222
VIOLÊNCIA INSTITUCIONAL > EM RAZÃO DE SER POLICIAL/MILITAR/DEMAIS AGENTE DE SEGURANÇA PÚBLICA,809
IGUALDADE > INJÚRIA RACIAL E ÉTNICA,787
DIREITOS CIVIS E POLÍTICOS > LIVRE EXERCÍCIO DO PODER FAMILIAR,751
LIBERDADE > DE RELIGIÃO ou CRENÇA,689
DIREITOS CIVIS E POLÍTICOS > RETENÇÃO DE DOCUMENTOS,627
DIREITOS CIVIS E POLÍTICOS > ACESSO À INFORMAÇÃO,626
DIREITOS SOCIAIS > PREVIDÊNCIA SOCIAL,539
LIBERDADE > LABORAL,508
LIBERDADE > EXPRESSÃO,384
VIDA > INCITAÇÃO AO SUICÍDIO,326
VIDA > HOMICÍDIO,282
DIREITOS CIVIS E POLÍTICOS > MEMÓRIA E VERDADE,257
VIDA > SUICÍDIO,227
DIREITOS SOCIAIS > TRANSPORTE,199
DIREITOS SOCIAIS > PROTEÇÃO À MATERNIDADE,196
VIDA > AUTOMUTILAÇAO,193
VIDA > FEMINICÍDIO,76
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA DE GÊNERO E CONTRA AS MULHERES,56
VIDA > ABORTO,50
MEIO AMBIENTE > SOLO,34
MEIO AMBIENTE > ÁGUA,28
MEIO AMBIENTE > FAUNA,19
MEIO AMBIENTE > FLORA,19
DIREITOS CIVIS E POLÍTICOS > VIOLÊNCIA POLITÍCA ÉTNICO/RACIAL,18
DIREITOS CIVIS E POLÍTICOS > CULTURAL,17
DIREITOS CIVIS E POLÍTICOS > PARTICIPAÇÃO/DEMOCRACIA,15
MEIO AMBIENTE > AR,14
DIREITOS CIVIS E POLÍTICOS > NACIONALIDADE,8
DIREITOS CIVIS E POLÍTICOS > VOTAR E SER VOTADO,1
