cluster,report_count,top_violation_categories,top_age_groups,top_relationships,top_settings
0,13,INTEGRIDADE > FÍSICA (13); INTEGRIDADE > NEGLIGÊNCIA (13); INTEGRIDADE > PSÍQUICA (11),80 A 84 ANOS (4); 65 A 69 ANOS (2); 85 A 89 ANOS (2),FILHO(A) (11); OUTROS (1); SOBRINHO(A) (1),CASA DA VÍTIMA (13)
1,8,INTEGRIDADE > NEGLIGÊNCIA (7); INTEGRIDADE > PSÍQUICA (7); INTEGRIDADE > FÍSICA (5),13 ANOS (2); 01 ANO (1); 07 ANOS (1),OUTROS (3); MÃE (2); DIRETOR(A) DE ESCOLA (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (3); CASA DA VÍTIMA (1); ESTABELECIMENTO DE SAÚDE (1)
2,26,INTEGRIDADE > PSÍQUICA (25); INTEGRIDADE > NEGLIGÊNCIA (7); IGUALDADE > DISCRIMINAÇÃO (4),40 A 44 ANOS (6); 30 A 34 ANOS (4); 45 A 49 ANOS (3),OUTROS (10); VIZINHO(A) (3); IRMÃO(Ã) (2),CASA DA VÍTIMA (19); ÓRGÃOS PÚBLICOS (3); OUTROS (2)
3,25,INTEGRIDADE > FÍSICA (25); INTEGRIDADE > PSÍQUICA (25); INTEGRIDADE > NEGLIGÊNCIA (21),17 ANOS (4); 10 ANOS (3); 11 ANOS (3),MÃE (14); PAI (6); OUTROS (2),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (20); CASA DA VÍTIMA (2); CASA DO SUSPEITO (2)
4,7,INTEGRIDADE > PSÍQUICA (6); INTEGRIDADE > FÍSICA (4); INTEGRIDADE > NEGLIGÊNCIA (3),07 ANOS (1); 14 ANOS (1); 15 ANOS (1),FILHO(A) (2); AVÔ(Ó) (1); NAMORADO(A) (1),CASA DA VÍTIMA (5); CASA DE FAMILIARES (1); CASA DO SUSPEITO (1)
5,27,INTEGRIDADE > NEGLIGÊNCIA (27); INTEGRIDADE > PSÍQUICA (27); INTEGRIDADE > FÍSICA (26),80 A 84 ANOS (8); 85 A 89 ANOS (6); 70 A 74 ANOS (4),FILHO(A) (22); NETO(A) (3); GENRO/NORA (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (17); CASA DA VÍTIMA (10)
6,16,INTEGRIDADE > FÍSICA (15); INTEGRIDADE > NEGLIGÊNCIA (13); INTEGRIDADE > PSÍQUICA (11),65 A 69 ANOS (3); 85 A 89 ANOS (3); 55 A 59 ANOS (2),FILHO(A) (9); VIZINHO(A) (2); ENTEADO(A) (1),CASA DA VÍTIMA (9); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (5); MANICÔMIO/HOSPITAL PSIQUIÁTRICO/CASA DE SAÚDE MENTAL (1)
7,18,INTEGRIDADE > FÍSICA (17); INTEGRIDADE > PSÍQUICA (17); INTEGRIDADE > NEGLIGÊNCIA (14),50 A 54 ANOS (3); 55 A 59 ANOS (3); 70 A 74 ANOS (2),FILHO(A) (4); IRMÃO(Ã) (3); OUTROS (2),CASA DA VÍTIMA (12); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (3); CASA DO SUSPEITO (1)
8,21,INTEGRIDADE > PSÍQUICA (21); INTEGRIDADE > FÍSICA (8); INTEGRIDADE > NEGLIGÊNCIA (7),45 A 49 ANOS (5); 35 A 39 ANOS (4); 40 A 44 ANOS (2),VIZINHO(A) (6); OUTROS (4); EX-COMPANHEIRO(A) (2),CASA DA VÍTIMA (9); CASA DO SUSPEITO (5); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (4)
9,15,INTEGRIDADE > FÍSICA (15); INTEGRIDADE > NEGLIGÊNCIA (15); INTEGRIDADE > PSÍQUICA (14),75 A 79 ANOS (3); 85 A 89 ANOS (3); 70 A 74 ANOS (2),FILHO(A) (7); IRMÃO(Ã) (2); SOBRINHO(A) (2),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (13); CASA DA VÍTIMA (2)
10,18,INTEGRIDADE > FÍSICA (18); INTEGRIDADE > PSÍQUICA (18); INTEGRIDADE > NEGLIGÊNCIA (16),13 ANOS (3); 12 ANOS (2); 15 ANOS (2),MÃE (5); PAI (4); NETO(A) (2),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (17); CASA DA VÍTIMA (1)
11,8,INTEGRIDADE > FÍSICA (8); INTEGRIDADE > NEGLIGÊNCIA (8); INTEGRIDADE > PSÍQUICA (8),16 ANOS (2); 80 A 84 ANOS (2); 90+ (2),FILHO(A) (2); ESPOSA(O) (1); MÃE (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (6); CASA DA VÍTIMA (1); CASA DO SUSPEITO (1)
12,14,INTEGRIDADE > PSÍQUICA (12); INTEGRIDADE > FÍSICA (7); INTEGRIDADE > NEGLIGÊNCIA (7),85 A 89 ANOS (3); 20 A 24 ANOS (2); 12 ANOS (1),DESCONHECIDO(A) (3); FILHO(A) (3); OUTROS (3),AMBIENTE VIRTUAL (NO ÂMBITO DA INTERNET) (6); CASA DA VÍTIMA (5); CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (2)
13,12,INTEGRIDADE > NEGLIGÊNCIA (12); INTEGRIDADE > FÍSICA (11); INTEGRIDADE > PSÍQUICA (4),02 ANOS (2); 05 ANOS (2); 09 ANOS (2),MÃE (11); PAI (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (10); CASA DA VÍTIMA (1); ESTABELECIMENTO COMERCIAL (1)
14,14,INTEGRIDADE > PSÍQUICA (14); INTEGRIDADE > FÍSICA (8); INTEGRIDADE > NEGLIGÊNCIA (7),40 A 44 ANOS (5); 50 A 54 ANOS (3); 45 A 49 ANOS (2),OUTROS (5); DESCONHECIDO(A) (1); DIRETOR(A) DE ESCOLA (1),CASA DA VÍTIMA (7); LOCAL DE TRABALHO DO AGRESSOR (2); AMBIENTE DE LAZER/ESPORTE/ENTRETENIMENTO (1)
15,24,INTEGRIDADE > FÍSICA (23); INTEGRIDADE > NEGLIGÊNCIA (23); INTEGRIDADE > PSÍQUICA (21),12 ANOS (4); 03 ANOS (3); 15 ANOS (3),MÃE (17); PAI (6); FILHO(A) (1),CASA ONDE RESIDE A VÍTIMA E O SUSPEITO (20); CASA DA VÍTIMA (3); CASA DO SUSPEITO (1)
